Android 14 (API 34)
============================================================
int     APP_OP_ (AppProtoEnums)                                 OPSTR_ string                                           中文说明
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-1      APP_OP_NONE                                             ?                                                       无操作
0       APP_OP_COARSE_LOCATION                                  android:coarse_location                                 粗略位置（基站/WiFi定位）
1       APP_OP_FINE_LOCATION                                    android:fine_location                                   精确位置（GPS定位）
2       APP_OP_GPS                                              android:gps                                             GPS定位
3       APP_OP_VIBRATE                                          android:vibrate                                         振动
4       APP_OP_READ_CONTACTS                                    android:read_contacts                                   读取联系人
5       APP_OP_WRITE_CONTACTS                                   android:write_contacts                                  修改联系人
6       APP_OP_READ_CALL_LOG                                    android:read_call_log                                   读取通话记录
7       APP_OP_WRITE_CALL_LOG                                   android:write_call_log                                  修改通话记录
8       APP_OP_READ_CALENDAR                                    android:read_calendar                                   读取日历
9       APP_OP_WRITE_CALENDAR                                   android:write_calendar                                  修改日历
10      APP_OP_WIFI_SCAN                                        android:wifi_scan                                       扫描WiFi网络
11      APP_OP_POST_NOTIFICATION                                android:post_notification                               发送通知
12      APP_OP_NEIGHBORING_CELLS                                android:neighboring_cells                               获取相邻基站信息
13      APP_OP_CALL_PHONE                                       android:call_phone                                      拨打电话
14      APP_OP_READ_SMS                                         android:read_sms                                        读取短信
15      APP_OP_WRITE_SMS                                        android:write_sms                                       写入短信
16      APP_OP_RECEIVE_SMS                                      android:receive_sms                                     接收短信
17      APP_OP_RECEIVE_EMERGENCY_SMS                            android:receive_emergency_broadcast                     接收紧急广播短信
18      APP_OP_RECEIVE_MMS                                      android:receive_mms                                     接收彩信
19      APP_OP_RECEIVE_WAP_PUSH                                 android:receive_wap_push                                接收WAP推送
20      APP_OP_SEND_SMS                                         android:send_sms                                        发送短信
21      APP_OP_READ_ICC_SMS                                     android:read_icc_sms                                    读取SIM卡短信
22      APP_OP_WRITE_ICC_SMS                                    android:write_icc_sms                                   写入SIM卡短信
23      APP_OP_WRITE_SETTINGS                                   android:write_settings                                  修改系统设置
24      APP_OP_SYSTEM_ALERT_WINDOW                              android:system_alert_window                             显示悬浮窗
25      APP_OP_ACCESS_NOTIFICATIONS                             android:access_notifications                            访问通知内容
26      APP_OP_CAMERA                                           android:camera                                          使用摄像头
27      APP_OP_RECORD_AUDIO                                     android:record_audio                                    录制音频/使用麦克风
28      APP_OP_PLAY_AUDIO                                       android:play_audio                                      播放音频
29      APP_OP_READ_CLIPBOARD                                   android:read_clipboard                                  读取剪贴板
30      APP_OP_WRITE_CLIPBOARD                                  android:write_clipboard                                 写入剪贴板
31      APP_OP_TAKE_MEDIA_BUTTONS                               android:take_media_buttons                              拦截媒体按键
32      APP_OP_TAKE_AUDIO_FOCUS                                 android:take_audio_focus                                获取音频焦点
33      APP_OP_AUDIO_MASTER_VOLUME                              android:audio_master_volume                             调整主音量
34      APP_OP_AUDIO_VOICE_VOLUME                               android:audio_voice_volume                              调整通话音量
35      APP_OP_AUDIO_RING_VOLUME                                android:audio_ring_volume                               调整铃声音量
36      APP_OP_AUDIO_MEDIA_VOLUME                               android:audio_media_volume                              调整媒体音量
37      APP_OP_AUDIO_ALARM_VOLUME                               android:audio_alarm_volume                              调整闹钟音量
38      APP_OP_AUDIO_NOTIFICATION_VOLUME                        android:audio_notification_volume                       调整通知音量
39      APP_OP_AUDIO_BLUETOOTH_VOLUME                           android:audio_bluetooth_volume                          调整蓝牙音量
40      APP_OP_WAKE_LOCK                                        android:wake_lock                                       持有唤醒锁（阻止休眠）
41      APP_OP_MONITOR_LOCATION                                 android:monitor_location                                监控位置变化
42      APP_OP_MONITOR_HIGH_POWER_LOCATION                      android:monitor_location_high_power                     高精度持续监控位置
43      APP_OP_GET_USAGE_STATS                                  android:get_usage_stats                                 获取应用使用统计
